State,"Prices January, 2011","Prices Febraury, 2011","Prices March, 2011","Prices April, 2011","Prices May, 2011","Prices June, 2011","Prices August, 2011","Prices September, 2011","Prices October, 2011","Prices November, 2011","Prices December, 2011","Prices January, 2012","Prices Febraury, 2012","Prices March, 2012","Prices April, 2012","Prices May, 2012","Prices June, 2012","Prices July, 2012","Prices August, 2012","Prices September, 2012","Prices October, 2012","Prices November, 2012","Prices December, 2012","Prices January, 2013","Prices April, 2013","Prices May, 2013","Prices June, 2013","Prices July, 2013","Prices August, 2013","Prices September, 2013","Prices October, 2013","Prices November, 2013","Prices December, 2013","Prices January, 2014","Prices Febraury, 2014","Prices March, 2014","Prices April, 2014","Prices May, 2014","Prices June, 2014","Prices July, 2014","Prices August, 2014","Prices September, 2014","Prices October, 2014","Prices November, 2014","Prices December, 2014","Prices January, 2015","Prices Febraury, 2015","Prices March, 2015","Prices April, 2015","Prices May, 2015","Prices June, 2015","Prices July, 2015","Prices August, 2015","Prices September, 2015","Prices October, 2015","Prices November, 2015","Prices November, 2015","Prices January, 2016","Prices Febraury, 2016","Prices March, 2016","Prices April, 2016","Prices May, 2016","Prices June, 2016","Prices July, 2016","Prices August, 2016","Prices September, 2016","Prices October, 2016","Prices November, 2016","Prices December, 2016","Prices January, 2017","Prices Febraury, 2017","Prices March, 2017","Prices April, 2017","Prices May, 2017","Prices June, 2017","Prices July, 2017","Prices August, 2017","Prices September, 2017","Prices October, 2017","Prices November, 2017","Prices December, 2017","Prices January, 2018","Prices Febraury, 2018","Prices March, 2018","Prices April, 2018","Prices May, 2018","Prices June, 2018","Prices July, 2018","Prices August, 2018","Prices September, 2018","Prices October, 2018","Prices November, 2018","Prices December, 2018","Prices January, 2019","Prices Febraury, 2019","Prices March, 2019","Prices April, 2019","Prices May, 2019","Prices June, 2019","Prices July, 2019","Prices August, 2019","Prices September, 2019","Prices October, 2019","Prices December, 2019","Prices January, 2020","Prices Febraury, 2020","Prices March, 2020","Prices April, 2020","Prices May, 2020","Prices June, 2020","Prices July, 2020","Prices August, 2020","Prices September, 2020","Prices October, 2020","Prices November, 2020","Prices December, 2020","Prices January, 2021","Prices Febraury, 2021","Prices March, 2021","Prices April, 2021","Prices May, 2021","Prices June, 2021","Prices July, 2021","Prices August, 2021","Prices September, 2021","Prices October, 2021","Prices November, 2021","Prices December, 2021","Prices January, 2022","Prices Febraury, 2022","Prices March, 2022","Prices April, 2022","Prices May, 2022","Prices June, 2022","Prices July, 2022","Prices August, 2022","Prices September, 2022","Prices October, 2022","Prices November, 2022","Prices December, 2022","Prices January, 2023","Prices Febraury, 2023","Prices March, 2023","Prices April, 2023","Prices May, 2023","Prices June, 2023","Prices July, 2023","Prices August, 2023","Prices September, 2023","Prices October, 2023","Prices November, 2023","Prices December, 2023","Prices January, 2024"
Andhra Pradesh,2297,912,546,475,442,705,1036,883,764,685,470,316,378,392,446,471,620,588,663,525,531,585,848,497,787,890,1326,2020,2791,3355,3145,2661,1802,856,664,572,627,787,1212,2075,1633,1145,1194,1165,1161,1389,1319,1228,1028,1056,1426,1957,3150,3395,2189,1587,1587,1049,705,574,557,498,1144,770,559,471,326,462,413,495,626,609,586,555,652,973,3411,1275,1413,2627,2912,2568,1460,723,876,876,987,1016,1050,881,807,608,457,521,459,701,795,1134,1572,1601,2238,2457,2212,4321,3118,1845,2345,2134,987,1256,1134,651,1027,2108,3494,2500,2507,2838,1165,763,931,1513,1428,1261,1044,1562,1460,1295,1608,1720,1053,684,578,908,895,818,738,836,1025,1058,1051,708,622,644,726,1462,1145,2060,1892,2689,3353,2399,1399
Assam,4185,1935,1039,890,939,993,1521,1762,1617,1485,1263,1211,997,911,897,936,1053,1156,1193,1217,1352,1527,1823,1880,1359,1389,1526,2448,4115,5165,5951,4955,2593,1930,1484,1311,1395,1728,1934,2786,2695,2543,2396,2556,2456,2155,2130,1822,2372,2240,2481,2699,4131,5128,4571,3288,3288,1941,1715,1453,1345,1344,1475,1536,1536,1405,1372,1553,1491,1478,1414,1308,1214,1312,1366,1390,2681,2534,3206,3962,4470,4061,3224,3485,1461,1483,1594,2197,2135,1954,2059,1936,1502,1421,1256,1193,1135,1402,1678,2119,2445,3758,4607,5716,2345,2356,2456,3421,789,1154,1267,768,1153,2134,2356,2367,2167,3609,2244,1437,1138,1660,2197,2281,2850,1678,2127,2805,3202,3082,2366,1545,1610,980,1611,1625,2134,1806,2010,1730,1567,1432,1098,1400,1864,1989,2413,2134,1263,1689,2353,4593,2109
Goa,2600,1049,626,616,619,600,853,996,954,882,878,987,989,868,899,476,533,671,760,615,806,1158,1254,1338,898,863,1153,2183,3773,4320,4336,3867,2120,1295,1164,1232,1263,1296,1155,2198,1748,1906,1833,1850,1976,1507,1317,1399,1161,1022,1369,1577,2824,3325,2531,2044,2044,1087,821,897,784,733,891,942,842,752,758,947,810,735,664,616,655,637,776,665,1691,1629,1821,2255,3022,2732,1567,1917,678,738,1048,1195,1248,1203,1023,1416,836,1030,975,987,1021,1000,1168,1222,1775,1990,2307,3456,5066,2652,1987,678,1344,1083,1322,1256,2016,3178,3787,2387,2628,2996,1741,1310,1575,1742,1742,1794,1960,1992,2319,2280,2355,2754,1529,1207,1086,1252,1250,1252,1569,1331,1444,1425,1937,1400,1249,1128,1138,1180,1243,1192,1860,1805,3091,2324,1506
Gujarat,1929,839,559,418,433,541,924,1164,881,946,638,460,469,452,459,429,482,559,667,774,766,1051,1107,1325,882,806,1215,1678,2345,489,3402,3276,2234,1768,664,688,663,738,1086,1942,1392,1649,1149,1353,1647,1092,1994,1268,1117,1387,1650,2093,3952,3612,2751,2221,2221,1497,736,964,985,545,634,692,655,511,589,688,662,676,650,544,477,408,514,672,1674,1230,1890,2569,2328,2080,1164,814,557,543,810,1043,909,798,1091,951,671,684,607,659,812,868,1119,1090,1403,1993,2614,6276,2934,1789,1528,985,916,1101,933,1051,1813,3543,3234,2026,1867,2199,1055,858,1403,2070,1584,1568,1717,2300,1740,1602,1649,2286,1131,806,882,1066,1108,1014,1257,1464,1549,1140,1401,932,966,766,895,1074,1344,1707,1776,2667,3295,1869,1442
Haryana,2584,1250,731,541,478,495,1037,1517,1129,1206,634,580,575,600,591,522,536,672,749,600,788,1061,1092,1239,996,843,974,1938,3437,4031,3986,2553,1247,985,975,1000,854,1012,961,1500,1558,1307,1297,1280,1327,1470,1311,1540,1147,1118,1545,1912,3401,3277,2286,1572,1572,1260,1133,1036,795,671,783,890,873,874,906,982,954,898,872,860,788,762,788,883,1914,1774,2111,2837,3167,3144,2225,674,905,735,1033,1342,1338,1177,1414,1232,997,919,832,835,799,867,1142,1340,1620,2829,3368,4186,4353,2698,2173,1668,879,1000,1056,1095,1959,3269,3625,2621,2335,2859,1685,1171,1364,1761,1929,1841,1589,2584,1942,1683,1992,1650,1581,1103,931,1104,1359,1373,979,1512,1566,1359,996,1150,965,896,848,981,1418,1623,2726,2178,3070,2279,1733
Himachal Pradesh,3381,1534,943,782,687,704,1316,1659,1370,919,880,764,704,749,797,758,784,907,965,686,1033,1314,1447,1514,1360,1139,1405,1603,3314,4065,5041,3054,1598,1161,1231,1298,1290,1329,1475,1584,2178,1729,1624,1497,1497,1759,1497,2002,1259,1200,1429,1693,2861,3749,3140,2412,2412,1563,1279,1237,1201,989,1043,1208,1246,1084,1158,1371,1270,1190,1074,1021,1088,1017,1129,1163,2504,2094,2928,3572,3869,3800,2589,1261,1316,1169,1471,1921,1741,1492,1794,1566,1269,1229,1112,1049,1155,1282,1579,1881,2306,3644,3966,8687,4924,3049,2808,1920,1280,1407,1504,1704,2931,4554,4401,3263,3205,3849,2443,1801,1994,2615,2687,2586,1708,3668,3010,2609,2924,2133,2329,1714,1636,1821,2026,2011,1374,2328,2416,1965,1342,1746,1575,1550,1550,1653,2193,2568,2677,3457,4508,3435,2835
Jammu and Kashmir,3133,1460,848,755,713,694,1278,1417,1800,1291,889,765,714,737,768,686,707,981,1198,932,1153,1115,1309,1406,1339,1170,1199,2668,4020,5081,4969,4099,1898,1451,1317,1292,1298,1315,1457,2360,2152,2066,2086,1880,1986,1829,1971,1793,1675,1546,1959,2397,4284,4751,3892,2665,2665,1522,1318,1338,1347,1308,1309,1267,1177,939,1102,1384,1245,1150,1133,1022,1124,1048,1126,1279,2572,2283,2806,3500,4012,3768,2475,1635,1320,1185,1230,1601,1472,1418,1602,1424,1304,1081,978,1033,1289,1174,1503,1744,1777,3068,3746,5678,4500,2497,2142,1859,1279,1336,1352,1647,2935,4287,4445,2924,3064,3629,2296,1681,1762,2311,2504,2321,2403,3265,2856,2396,2479,3046,2273,1704,1466,1580,1811,1721,1974,2116,2154,1698,2058,1628,1400,1306,1288,1437,1913,2430,2145,3354,4478,3511,2681
Jharkhand,3414,1445,911,725,738,785,1205,1105,1419,985,973,844,716,751,806,841,782,816,870,1219,989,1256,1564,1587,1265,1221,1234,2043,3421,4904,4583,3804,2146,1762,1100,1108,1108,1268,1345,2379,2141,1996,2060,1962,1965,1761,1979,1486,1664,1628,1962,2218,4221,4618,4041,3009,3009,1918,1701,1507,1310,1314,1300,1439,1433,1174,1588,1563,1324,1292,1233,1223,1226,1325,1311,1397,2689,2656,3308,3880,4283,4207,3329,1587,1303,1212,1232,2080,2159,2428,2222,2392,2336,1554,2263,2060,1956,1520,1467,2183,2352,4204,4245,5476,4567,3456,2098,1765,1134,1450,2106,1351,2145,3421,2357,2476,3800,4167,3217,1796,1725,2250,2800,2134,2113,2213,2089,2156,2156,3012,2456,1300,789,1254,1097,1128,1571,1455,1820,1823,1969,1001,1018,1123,841,1105,1356,1768,1981,2234,2146,2743,5609
Karnataka,2389,1092,653,621,587,756,1073,1828,990,1740,745,484,460,489,517,502,587,684,762,922,837,1164,1295,1305,960,976,1301,1919,3303,4188,2523,3787,2277,1321,669,655,659,926,1425,1862,1736,2082,1880,1938,1901,1214,1769,1223,1292,1411,1819,2064,4199,5311,4677,3277,3277,1068,813,643,614,629,695,800,705,663,654,788,780,714,744,726,680,629,831,844,1888,1508,2045,2761,2907,2662,1551,2036,720,712,928,1145,1117,906,1040,1013,677,705,656,706,784,932,1192,2632,1753,2782,2421,7576,3308,1866,1510,1206,769,909,893,1123,1967,3845,3925,5053,2429,3199,1456,973,1143,1708,1771,1558,1341,3611,3682,2089,2002,2897,1286,1028,972,1250,1304,2357,1087,3258,7368,1468,1365,2502,2392,907,5348,2994,1154,3492,3673,2848,3353,2558,1730
Kerala,4463,2049,1324,1227,1364,1701,1729,757,1702,655,1483,1195,1073,990,1085,1138,1203,1244,1272,724,1330,1778,1994,2030,1607,1738,2181,1920,2668,2802,5289,2616,1395,900,1716,1492,1654,1821,2260,1913,2881,1480,1407,1467,1266,2494,1339,2237,1127,1223,1588,1934,3070,2867,1955,1551,1551,2655,1949,1591,1722,1925,2213,2046,1811,1612,1677,1808,1684,1682,1685,2286,2364,2800,3214,2793,3563,3067,3627,4283,3456,4375,2810,907,1709,1764,2195,2797,2441,1874,2220,2437,1825,1780,1584,1517,1745,2155,2642,2654,3090,3884,4327,11481,6644,3420,3289,2859,2090,2383,2100,2347,3538,6466,7215,1848,4512,5665,4243,2360,2761,3379,3352,3142,2804,2245,1237,3974,4053,1996,2402,1922,1890,2238,2274,719,2454,1222,983,2163,3675,713,674,2504,589,710,3077,1356,1469,4998,6229,5116,3558
