State,District,Market,Market Arrivals (2023),Market Arrivals (2022),% (+/-) WRT(previous year),Market%
Andaman and Nicobar,Nicobar,Car Nicobar,8.34,7.17,16.32%,6.30%
Andaman and Nicobar,North and Middle Andaman,Diglipur,25.22,24.92,1.20%,19.04%
Andaman and Nicobar,South Andaman,Port Blair,98.92,98.92,0%,74.67%
Andhra Pradesh,Anantapur,Guntakal,10,10,0%,0.00%
Andhra Pradesh,Anantapur,Rayadurg,52,52,0%,0.01%
Andhra Pradesh,Chittor,Chittor(Rythu Bazar),976.9,976.9,0%,0.09%
Andhra Pradesh,Chittor,Tirupati,13.72,13.72,0%,0.00%
Andhra Pradesh,Cuddapah,Cuddapah,3,3,0%,0.00%
Andhra Pradesh,Cuddapah,Kamalapuram,220.5,220.5,0%,0.02%
Andhra Pradesh,Cuddapah,Lakkireddipally,8,8,0%,0.00%
Andhra Pradesh,Cuddapah,Rajampet,486,486,0%,0.05%
Andhra Pradesh,Guntur,Mangalagiri,0,866.14,0%,0%
Andhra Pradesh,Guntur,Vinukonda,0.1,0.1,0%,0.00%
Andhra Pradesh,Krishna,Gudiwada,0,977.8,0%,0%
Andhra Pradesh,Krishna,Jaggayyapeta,1262.3,3334.3,-62.14%,0.12%
Andhra Pradesh,Krishna,Machilipatnam,328.03,684.03,-52.04%,0.03%
Andhra Pradesh,Krishna,Mylavaram,371.2,371.2,0%,0.04%
Andhra Pradesh,Krishna,Vijayawada,255,255,0%,0.02%
Andhra Pradesh,Kurnool,Adoni,0,1.5,0%,0%
Andhra Pradesh,Kurnool,Alur,16065.7,16098.7,-0.20%,1.56%
Andhra Pradesh,Kurnool,Banaganapalli,2689.5,2689.5,0%,0.26%
Andhra Pradesh,Kurnool,Dhone,2098.6,2757.6,-23.90%,0.20%
Andhra Pradesh,Kurnool,Koilkunta,382.2,382.2,0%,0.04%
Andhra Pradesh,Kurnool,Kurnool,708538.1,1023044.2,-30.74%,68.81%
Andhra Pradesh,Kurnool,Kurnool(Rythu Bazar),6.4,6.4,0%,0.00%
Andhra Pradesh,Kurnool,Pattikonda,16000.76,15933.36,0.42%,1.55%
Andhra Pradesh,Nellore,Nellore,7.7,7.7,0%,0.00%
Andhra Pradesh,Prakasam,Ongole(Rythu Bazar),515.94,515.94,0%,0.05%
Andhra Pradesh,Srikakulam,Ichapuram,496,496,0%,0.05%
Andhra Pradesh,Srikakulam,Rajam,20,20,0%,0.00%
Andhra Pradesh,Vijayanagaram,Bobbili,3.6,3.6,0%,0.00%
Andhra Pradesh,Vijayanagaram,Gajapathinagaram,10,10,0%,0.00%
Andhra Pradesh,Vijayanagaram,Parvathipuram,58.4,58.4,0%,0.01%
Andhra Pradesh,Vijayanagaram,"R and B Guest House,RBZ,Vizianagaram",27.6,27.6,0%,0.00%
Andhra Pradesh,Vijayanagaram,Vijayanagaram,0,520,0%,0%
Andhra Pradesh,Visakhapatnam,Visakhapatnam,544.9,544.9,0%,0.05%
Andhra Pradesh,West Godavari,Eluru,20.5,20.5,0%,0.00%
Andhra Pradesh,West Godavari,"Eluru(P.Sri.Mkt),RBZ",661.9,661.9,0%,0.06%
Andhra Pradesh,West Godavari,"Eluru-II,RBZ",72.6,72.6,0%,0.01%
Andhra Pradesh,West Godavari,Kovvur,1548.4,2298.4,-32.63%,0.15%
Andhra Pradesh,West Godavari,Tadepalligudem,276009.8,276130.8,-0.04%,26.80%
Arunachal Pradesh,East Siang,Pasighat,48,48,0%,3.78%
Arunachal Pradesh,Papum Pore,Naharlagun,467.85,467.85,0%,36.82%
Arunachal Pradesh,Tirap,Khonsa,749.7,749.7,0%,59.01%
Arunachal Pradesh,Upper Subansiri,Daporijo,5,5,0%,0.39%
Assam,Bangaigaon,Bongiagaon,38929.8,39329.3,-1.02%,11.52%
