State,District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Andhra Pradesh,ADILABAD,2011-12,Rabi,360,9830,27.31
Andhra Pradesh,ANANTAPUR,2011-12,Kharif,2757,39563,14.35
Andhra Pradesh,ANANTAPUR,2011-12,Rabi,208,4259,20.48
Andhra Pradesh,ANANTAPUR,2012-13,Kharif,2000,25000,12.5
Andhra Pradesh,ANANTAPUR,2013-14,Kharif,1414,31097,21.99
Andhra Pradesh,ANANTAPUR,2013-14,Rabi,611,14317,23.43
Andhra Pradesh,ANANTAPUR,2014-15,Kharif,1969,35214,17.88
Andhra Pradesh,ANANTAPUR,2014-15,Rabi,297,6767,22.78
Andhra Pradesh,ANANTAPUR,2015-16,Kharif,2286,48603,21.26
Andhra Pradesh,ANANTAPUR,2015-16,Rabi,836,14144,16.92
Andhra Pradesh,ANANTAPUR,2016-17,Kharif,2545,58637,23.04
Andhra Pradesh,ANANTAPUR,2016-17,Rabi,254,6853,26.98
Andhra Pradesh,ANANTAPUR,2017-18,Kharif,1207,48708,40.35
Andhra Pradesh,ANANTAPUR,2017-18,Rabi,545,64992,119.25
Andhra Pradesh,ANANTAPUR,2018-19,Kharif,1407,50908,36.18
Andhra Pradesh,ANANTAPUR,2018-19,Rabi,410,53064,129.42
Andhra Pradesh,ANANTAPUR,2019-20,Kharif,2168,47696,22
Andhra Pradesh,ANANTAPUR,2019-20,Rabi,1684,35287,20.95
Andhra Pradesh,CHITTOOR,2011-12,Kharif,180,2594,14.41
Andhra Pradesh,CHITTOOR,2011-12,Rabi,196,4013,20.47
Andhra Pradesh,CHITTOOR,2013-14,Kharif,170,3201,18.83
Andhra Pradesh,CHITTOOR,2013-14,Rabi,253,5928,23.43
Andhra Pradesh,CHITTOOR,2014-15,Kharif,242,4443,18.36
Andhra Pradesh,CHITTOOR,2014-15,Rabi,199,4534,22.78
Andhra Pradesh,CHITTOOR,2015-16,Kharif,194,3285,16.93
Andhra Pradesh,CHITTOOR,2015-16,Rabi,249,4213,16.92
Andhra Pradesh,CHITTOOR,2016-17,Kharif,217,3724,17.16
Andhra Pradesh,CHITTOOR,2016-17,Rabi,213,4671,21.93
Andhra Pradesh,CHITTOOR,2017-18,Kharif,253,7678,30.35
Andhra Pradesh,CHITTOOR,2017-18,Rabi,304,4922,16.19
Andhra Pradesh,CHITTOOR,2018-19,Kharif,203,7678,37.82
Andhra Pradesh,CHITTOOR,2018-19,Rabi,268,3740,13.96
Andhra Pradesh,CHITTOOR,2019-20,Kharif,285,6102,21.41
Andhra Pradesh,CHITTOOR,2019-20,Rabi,187,4282,22.9
Andhra Pradesh,EAST GODAVARI,2011-12,Kharif,808,11645,14.41
Andhra Pradesh,EAST GODAVARI,2011-12,Rabi,38,973,25.61
Andhra Pradesh,EAST GODAVARI,2012-13,Kharif,1000,11000,11
Andhra Pradesh,EAST GODAVARI,2013-14,Kharif,595,11204,18.83
Andhra Pradesh,EAST GODAVARI,2013-14,Rabi,14,259,18.5
Andhra Pradesh,EAST GODAVARI,2014-15,Kharif,563,10337,18.36
Andhra Pradesh,EAST GODAVARI,2014-15,Rabi,15,265,17.67
Andhra Pradesh,EAST GODAVARI,2015-16,Kharif,549,9174,16.71
Andhra Pradesh,EAST GODAVARI,2015-16,Rabi,10,142,14.2
Andhra Pradesh,EAST GODAVARI,2016-17,Kharif,40,641,16.03
Andhra Pradesh,EAST GODAVARI,2016-17,Rabi,3,67,22.33
Andhra Pradesh,EAST GODAVARI,2017-18,Kharif,50,,0
Andhra Pradesh,EAST GODAVARI,2017-18,Rabi,2,200,100
Andhra Pradesh,EAST GODAVARI,2018-19,Kharif,98,,0
Andhra Pradesh,EAST GODAVARI,2018-19,Rabi,11,2156,196
Andhra Pradesh,EAST GODAVARI,2019-20,Rabi,125,2760,22.08
Andhra Pradesh,GUNTUR,2011-12,Kharif,959,13821,14.41
Andhra Pradesh,GUNTUR,2012-13,Kharif,1000,13000,13
Andhra Pradesh,GUNTUR,2013-14,Kharif,630,11864,18.83
Andhra Pradesh,GUNTUR,2013-14,Rabi,19,352,18.53
Andhra Pradesh,GUNTUR,2014-15,Kharif,408,7491,18.36
Andhra Pradesh,GUNTUR,2014-15,Rabi,40,707,17.68
Andhra Pradesh,GUNTUR,2015-16,Kharif,66,1110,16.82
Andhra Pradesh,GUNTUR,2015-16,Rabi,163,2318,14.22
Andhra Pradesh,GUNTUR,2016-17,Kharif,56,1326,23.68
Andhra Pradesh,GUNTUR,2016-17,Rabi,128,2849,22.26
Andhra Pradesh,GUNTUR,2017-18,Kharif,20,,0
Andhra Pradesh,GUNTUR,2017-18,Rabi,102,2318,22.73
Andhra Pradesh,GUNTUR,2018-19,Kharif,165,,0
Andhra Pradesh,GUNTUR,2018-19,Rabi,33,4532,137.33
Andhra Pradesh,GUNTUR,2019-20,Kharif,405,8910,22
Andhra Pradesh,KADAPA,2011-12,Kharif,4380,57588,13.15
Andhra Pradesh,KADAPA,2011-12,Rabi,1034,3154,3.05
Andhra Pradesh,KADAPA,2012-13,Kharif,2000,47000,23.5
Andhra Pradesh,KADAPA,2012-13,Rabi,1000,5000,5
Andhra Pradesh,KADAPA,2013-14,Kharif,2497,24361,9.76
Andhra Pradesh,KADAPA,2013-14,Rabi,926,9674,10.45
Andhra Pradesh,KADAPA,2014-15,Kharif,2983,37144,12.45
Andhra Pradesh,KADAPA,2014-15,Rabi,381,6556,17.21
Andhra Pradesh,KADAPA,2015-16,Kharif,3562,37330,10.48
Andhra Pradesh,KADAPA,2015-16,Rabi,2218,28583,12.89
Andhra Pradesh,KADAPA,2016-17,Kharif,3725,47159,12.66
Andhra Pradesh,KADAPA,2016-17,Rabi,758,10144,13.38
Andhra Pradesh,KADAPA,2017-18,Kharif,2551,27676,10.85
Andhra Pradesh,KADAPA,2017-18,Rabi,1805,61593,34.12
Andhra Pradesh,KADAPA,2018-19,Kharif,3631,28446,7.83
Andhra Pradesh,KADAPA,2018-19,Rabi,1034,56353,54.5
Andhra Pradesh,KADAPA,2019-20,Kharif,1381,30382,22
Andhra Pradesh,KADAPA,2019-20,Rabi,1084,23248,21.45
Andhra Pradesh,KARIMNAGAR,2011-12,Kharif,4,45,11.25
Andhra Pradesh,KARIMNAGAR,2011-12,Rabi,669,18267,27.3
Andhra Pradesh,KARIMNAGAR,2012-13,Rabi,1000,35000,35
Andhra Pradesh,KRISHNA,2011-12,Kharif,7,101,14.43
Andhra Pradesh,KRISHNA,2011-12,Rabi,25,640,25.6
Andhra Pradesh,KRISHNA,2013-14,Rabi,2,37,18.5
Andhra Pradesh,KRISHNA,2014-15,Rabi,13,230,17.69
Andhra Pradesh,KRISHNA,2016-17,Kharif,1,24,24
Andhra Pradesh,KURNOOL,2011-12,Kharif,24460,358241,14.65
Andhra Pradesh,KURNOOL,2011-12,Rabi,2449,68156,27.83
Andhra Pradesh,KURNOOL,2012-13,Kharif,15000,292000,19.47
Andhra Pradesh,KURNOOL,2012-13,Rabi,2000,30000,15
Andhra Pradesh,KURNOOL,2013-14,Kharif,14961,299923,20.05
Andhra Pradesh,KURNOOL,2013-14,Rabi,2134,62027,29.07
Andhra Pradesh,KURNOOL,2014-15,Kharif,22754,436353,19.18
Andhra Pradesh,KURNOOL,2014-15,Rabi,2012,47964,23.84
Andhra Pradesh,KURNOOL,2015-16,Kharif,26624,463923,17.42
Andhra Pradesh,KURNOOL,2015-16,Rabi,3237,63711,19.68
Andhra Pradesh,KURNOOL,2016-17,Kharif,24502,422341,17.24
Andhra Pradesh,KURNOOL,2016-17,Rabi,1636,41072,25.11
Andhra Pradesh,KURNOOL,2017-18,Kharif,12945,570526,44.07
Andhra Pradesh,KURNOOL,2017-18,Rabi,4076,101306,24.85
Andhra Pradesh,KURNOOL,2018-19,Kharif,18900,582186,30.8
Andhra Pradesh,KURNOOL,2018-19,Rabi,2927,169290,57.84
Andhra Pradesh,KURNOOL,2019-20,Kharif,19404,426232,21.97
Andhra Pradesh,KURNOOL,2019-20,Rabi,9062,188935,20.85
Andhra Pradesh,MAHBUBNAGAR,2011-12,Kharif,4191,47098,11.24
Andhra Pradesh,MAHBUBNAGAR,2011-12,Rabi,1750,47784,27.31
Andhra Pradesh,MAHBUBNAGAR,2012-13,Kharif,3000,51000,17
Andhra Pradesh,MAHBUBNAGAR,2012-13,Rabi,1000,32000,32
Andhra Pradesh,MEDAK,2011-12,Kharif,438,4942,11.28
Andhra Pradesh,MEDAK,2011-12,Rabi,4283,130105,30.38
Andhra Pradesh,MEDAK,2012-13,Rabi,4000,147000,36.75
Andhra Pradesh,NALGONDA,2011-12,Rabi,7,191,27.29
Andhra Pradesh,NALGONDA,2011-12,Kharif,42,472,11.24
Andhra Pradesh,NALGONDA,2011-12,Rabi,2436,63265,25.97
Andhra Pradesh,NALGONDA,2012-13,Rabi,2000,55000,27.5
Andhra Pradesh,PRAKASAM,2011-12,Kharif,603,8690,14.41
Andhra Pradesh,PRAKASAM,2011-12,Rabi,297,7603,25.6
Andhra Pradesh,PRAKASAM,2012-13,Kharif,1000,11000,11
Andhra Pradesh,PRAKASAM,2013-14,Kharif,462,8700,18.83
Andhra Pradesh,PRAKASAM,2013-14,Rabi,67,1241,18.52
Andhra Pradesh,PRAKASAM,2014-15,Kharif,303,5563,18.36
Andhra Pradesh,PRAKASAM,2014-15,Rabi,48,848,17.67
Andhra Pradesh,PRAKASAM,2015-16,Kharif,328,5485,16.72
Andhra Pradesh,PRAKASAM,2015-16,Rabi,37,526,14.22
Andhra Pradesh,PRAKASAM,2016-17,Kharif,707,17048,24.11
Andhra Pradesh,PRAKASAM,2016-17,Rabi,3,67,22.33
Andhra Pradesh,PRAKASAM,2017-18,Kharif,163,,0
Andhra Pradesh,PRAKASAM,2017-18,Rabi,46,3200,69.57
Andhra Pradesh,PRAKASAM,2018-19,Kharif,225,,0
Andhra Pradesh,PRAKASAM,2018-19,Rabi,11,1540,140
Andhra Pradesh,PRAKASAM,2019-20,Kharif,200,4400,22
Andhra Pradesh,RANGAREDDI,2011-12,Kharif,385,4328,11.24
Andhra Pradesh,RANGAREDDI,2011-12,Rabi,1921,42544,22.15
Andhra Pradesh,RANGAREDDI,2012-13,Rabi,2000,61000,30.5
Andhra Pradesh,SPSR NELLORE,2011-12,Kharif,143,2061,14.41
Andhra Pradesh,SPSR NELLORE,2011-12,Rabi,5,128,25.6
Andhra Pradesh,SPSR NELLORE,2013-14,Kharif,58,1092,18.83
Andhra Pradesh,SPSR NELLORE,2014-15,Kharif,79,1451,18.37
Andhra Pradesh,SPSR NELLORE,2015-16,Kharif,107,1789,16.72
Andhra Pradesh,SPSR NELLORE,2015-16,Rabi,16,228,14.25
Andhra Pradesh,SPSR NELLORE,2016-17,Kharif,78,1847,23.68
Andhra Pradesh,SPSR NELLORE,2017-18,Kharif,5,,0
Andhra Pradesh,SPSR NELLORE,2018-19,Kharif,20,,0
Andhra Pradesh,SRIKAKULAM,2011-12,Kharif,80,1153,14.41
Andhra Pradesh,SRIKAKULAM,2011-12,Rabi,1094,28007,25.6
Andhra Pradesh,SRIKAKULAM,2012-13,Rabi,1000,21000,21
Andhra Pradesh,SRIKAKULAM,2013-14,Kharif,16,301,18.81
Andhra Pradesh,SRIKAKULAM,2013-14,Rabi,980,18145,18.52
Andhra Pradesh,SRIKAKULAM,2014-15,Kharif,4,73,18.25
Andhra Pradesh,SRIKAKULAM,2014-15,Rabi,641,11325,17.67
Andhra Pradesh,SRIKAKULAM,2015-16,Kharif,16,268,16.75
Andhra Pradesh,SRIKAKULAM,2015-16,Rabi,342,4863,14.22
Andhra Pradesh,SRIKAKULAM,2016-17,Kharif,16,379,23.69
Andhra Pradesh,SRIKAKULAM,2016-17,Rabi,281,6255,22.26
Andhra Pradesh,SRIKAKULAM,2017-18,Kharif,2,8140,4070
Andhra Pradesh,SRIKAKULAM,2017-18,Rabi,287,7885,27.47
Andhra Pradesh,SRIKAKULAM,2018-19,Kharif,3,7832,2610.67
Andhra Pradesh,SRIKAKULAM,2018-19,Rabi,173,6270,36.24
Andhra Pradesh,SRIKAKULAM,2019-20,Kharif,4,96,24
Andhra Pradesh,SRIKAKULAM,2019-20,Rabi,19,415,21.84
Andhra Pradesh,VISAKHAPATANAM,2011-12,Kharif,56,807,14.41
Andhra Pradesh,VISAKHAPATANAM,2011-12,Rabi,116,2970,25.6
Andhra Pradesh,VISAKHAPATANAM,2013-14,Kharif,63,1186,18.83
Andhra Pradesh,VISAKHAPATANAM,2013-14,Rabi,161,2981,18.52
Andhra Pradesh,VISAKHAPATANAM,2014-15,Kharif,61,1120,18.36
Andhra Pradesh,VISAKHAPATANAM,2014-15,Rabi,138,2438,17.67
Andhra Pradesh,VISAKHAPATANAM,2015-16,Kharif,67,1120,16.72
Andhra Pradesh,VISAKHAPATANAM,2015-16,Rabi,98,1393,14.21
Andhra Pradesh,VISAKHAPATANAM,2016-17,Kharif,49,1160,23.67
Andhra Pradesh,VISAKHAPATANAM,2016-17,Rabi,104,2315,22.26
Andhra Pradesh,VISAKHAPATANAM,2017-18,Kharif,52,,0
Andhra Pradesh,VISAKHAPATANAM,2017-18,Rabi,96,1500,15.63
Andhra Pradesh,VISAKHAPATANAM,2018-19,Kharif,38,,0
Andhra Pradesh,VISAKHAPATANAM,2018-19,Rabi,79,1100,13.92
Andhra Pradesh,VISAKHAPATANAM,2019-20,Kharif,10,225,22.5
Andhra Pradesh,VISAKHAPATANAM,2019-20,Rabi,50,1110,22.2
Andhra Pradesh,VIZIANAGARAM,2011-12,Kharif,120,1729,14.41
Andhra Pradesh,VIZIANAGARAM,2011-12,Rabi,233,5965,25.6
Andhra Pradesh,VIZIANAGARAM,2013-14,Kharif,93,1751,18.83
Andhra Pradesh,VIZIANAGARAM,2013-14,Rabi,159,2944,18.52
Andhra Pradesh,VIZIANAGARAM,2014-15,Kharif,79,1451,18.37
Andhra Pradesh,VIZIANAGARAM,2014-15,Rabi,199,3516,17.67
Andhra Pradesh,VIZIANAGARAM,2015-16,Kharif,68,1137,16.72
Andhra Pradesh,VIZIANAGARAM,2015-16,Rabi,168,2389,14.22
Andhra Pradesh,VIZIANAGARAM,2016-17,Kharif,70,1658,23.69
Andhra Pradesh,VIZIANAGARAM,2016-17,Rabi,131,2916,22.26
Andhra Pradesh,VIZIANAGARAM,2017-18,Kharif,88,,0
Andhra Pradesh,VIZIANAGARAM,2017-18,Rabi,119,1950,16.39
Andhra Pradesh,VIZIANAGARAM,2018-19,Kharif,60,,0
Andhra Pradesh,VIZIANAGARAM,2018-19,Rabi,75,1760,23.47
Andhra Pradesh,VIZIANAGARAM,2019-20,Kharif,7,155,22.14
Andhra Pradesh,VIZIANAGARAM,2019-20,Rabi,39,853,21.87
Andhra Pradesh,WARANGAL,2011-12,Rabi,257,7017,27.3
Andhra Pradesh,WEST GODAVARI,2015-16,Rabi,1,14,14
Bihar,ARARIA,2016-17,Rabi,294,3487,11.86
Bihar,ARARIA,2017-18,Rabi,262,3706,14.15
Bihar,ARARIA,2018-19,Rabi,231,3033,13.13
Bihar,ARARIA,2019-20,Rabi,146,1949,13.35
Bihar,ARWAL,2016-17,Rabi,242,1796,7.42
Bihar,ARWAL,2017-18,Rabi,86,1059,12.31
Bihar,ARWAL,2018-19,Rabi,89,564,6.34
Bihar,ARWAL,2019-20,Rabi,137,1034,7.55
Bihar,AURANGABAD,2016-17,Rabi,98,727,7.42
Bihar,AURANGABAD,2017-18,Rabi,93,1145,12.31
Bihar,AURANGABAD,2018-19,Rabi,3,19,6.33
Bihar,AURANGABAD,2019-20,Rabi,115,1222,10.63
Bihar,BANKA,2016-17,Rabi,83,984,11.86
